ID,Category,Question,All Options,Option_1,Option_2,Option_3,Option_4,Coding_Scheme
PROFILE3_W49,Data Rights & Profiling,Do you ever see advertisements or solicitations that appear to be based on a profile made of you using your personal data?,"1 Yes, frequently | 2 Yes, on occasion | 3 No | 4 Not sure",Not sure,"Yes, frequently","Yes, on occasion",No,"{'No': 0, 'Yes, on occasion': 1, 'Yes, frequently': 2, 'Not sure': nan}"
PROFILE4_W49,Data Rights & Profiling,"How much, if at all, do you understand what data about you is being used to create these advertisements?",1 Very well | 2 Somewhat | 3 Not too well | 4 Not at all,Somewhat,Not too much,A great deal,Not at all,"{'Not at all': 0, 'Not too much': 1, 'Somewhat': 2, 'A great deal': 3}"
PROFILE5_W49,Data Rights & Profiling,"In general, how well do these advertisements accurately reflect your actual interests and characteristics?",1 Very well | 2 Somewhat | 3 Not too well | 4 Not at all,Not too well,Not well at all,Somewhat well,Very well,"{'Not well at all': 0, 'Not too well': 1, 'Somewhat well': 2, 'Very well': 3}"
DATAUSEa_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for the government to collect data about all Americans to assess who might be a potential terrorist threat?,See questionnaire (multiple options),Unacceptable,Acceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DATAUSEb_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for poorly performing schools to share data about students with a nonprofit group seeking to help improve educational outcomes?,See questionnaire (multiple options),Unacceptable,Acceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DATAUSEc_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for DNA testing companies to share customers’ genetic data with law enforcement to help solve crimes?,See questionnaire (multiple options),Acceptable,Unacceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DATAUSEd_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for makers of a fitness tracking app to share data with medical researchers?,See questionnaire (multiple options),Unacceptable,Not sure,Acceptable,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DATAUSEe_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for a social media company to monitor posts for signs of depression and connect users to counseling services?,See questionnaire (multiple options),Unacceptable,Not sure,Acceptable,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DATAUSEf_W49,Acceptability of Data Uses,Do you think it is acceptable/unacceptable for makers of smart speakers to share audio recordings with law enforcement?,See questionnaire (multiple options),Unacceptable,Acceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
FACE1_W49,Facial Recognition Attitudes,How much have you heard or read about the development of automated facial recognition technology?,1 A lot | 2 A little | 3 Nothing at all,Nothing at all,A little,A lot,Refused,"{'Nothing at all': 0, 'A little': 1, 'A lot': 2, 'Refused': nan}"
FACE2a_W49,Facial Recognition Attitudes,How effective do you think facial recognition technology is at accurately identifying individual people?,1 Very effective | 2 Somewhat effective | 3 Not too effective | 4 Not effective at all,Not too effective,Very effective,Somewhat effective,Not effective at all,"{'Not effective at all': 0, 'Not too effective': 1, 'Somewhat effective': 2, 'Very effective': 3}"
FACE2b_W49,Facial Recognition Attitudes,How effective do you think facial recognition technology is at accurately assessing someone’s gender?,1 Very effective | 2 Somewhat effective | 3 Not too effective | 4 Not effective at all,Not too effective,Somewhat effective,Very effective,Not effective at all,"{'Not effective at all': 0, 'Not too effective': 1, 'Somewhat effective': 2, 'Very effective': 3}"
FACE2c_W49,Facial Recognition Attitudes,How effective do you think facial recognition technology is at accurately assessing someone’s race?,1 Very effective | 2 Somewhat effective | 3 Not too effective | 4 Not effective at all,Somewhat effective,Very effective,Not too effective,Not effective at all,"{'Not effective at all': 0, 'Not too effective': 1, 'Somewhat effective': 2, 'Very effective': 3}"
FACE3a_W49,Facial Recognition Attitudes,How much do you trust advertisers to use facial recognition technology responsibly?,1 A great deal | 2 Somewhat | 3 Not too much | 4 Not at all,Not at all,Not too much,A great deal,Somewhat,"{'Not at all': 0, 'Not too much': 1, 'Somewhat': 2, 'A great deal': 3}"
FACE3b_W49,Facial Recognition Attitudes,How much do you trust technology companies to use facial recognition technology responsibly?,1 A great deal | 2 Somewhat | 3 Not too much | 4 Not at all,Not at all,Not too much,Somewhat,A great deal,"{'Not at all': 0, 'Not too much': 1, 'Somewhat': 2, 'A great deal': 3}"
FACE3c_W49,Facial Recognition Attitudes,How much do you trust law enforcement agencies to use facial recognition technology responsibly?,1 A great deal | 2 Somewhat | 3 Not too much | 4 Not at all,Somewhat,Not too much,Not at all,A great deal,"{'Not at all': 0, 'Not too much': 1, 'Somewhat': 2, 'A great deal': 3}"
FACE4a_W49,Facial Recognition Attitudes,Is it acceptable or unacceptable for law enforcement agencies to use facial recognition technology to assess security threats in public spaces?,1 Acceptable | 2 Unacceptable | 3 Not sure,Acceptable,Unacceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
FACE4b_W49,Facial Recognition Attitudes,Is it acceptable or unacceptable for companies to automatically track the attendance of their employees with facial recognition?,1 Acceptable | 2 Unacceptable | 3 Not sure,Acceptable,Unacceptable,Not sure,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
FACE4c_W49,Facial Recognition Attitudes,Is it acceptable or unacceptable for advertisers to see how people respond to public advertising displays with facial recognition?,1 Acceptable | 2 Unacceptable | 3 Not sure,Not sure,Unacceptable,Acceptable,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
FACE4d_W49,Facial Recognition Attitudes,Is it acceptable or unacceptable for apartment building landlords to track who enters/leaves their buildings with facial recognition?,1 Acceptable | 2 Unacceptable | 3 Not sure,Not sure,Acceptable,Unacceptable,Refused,"{'Unacceptable': 0, 'Acceptable': 1, 'Not sure': nan, 'Refused': nan}"
DB1a_W49,Security Incidents / Personal Experience,"In the last 12 months, have you had someone put fraudulent charges on your debit or credit card?",1 Yes | 2 No,No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
DB1b_W49,Security Incidents / Personal Experience,"In the last 12 months, have you had someone take over your social media or email account without your permission?",1 Yes | 2 No,No,Offline: does not have internet,Yes,Refused,"{'No': 0, 'Yes': 1, 'Offline: does not have internet': nan, 'Refused': nan}"
DB1c_W49,Security Incidents / Personal Experience,"In the last 12 months, have you had someone attempt to open a line of credit or apply for a loan using your name?",1 Yes | 2 No,No,Yes,Refused,,"{'No': 0, 'Yes': 1, 'Refused': nan}"
F_METRO,Demographics,Demographic variable: Metropolitan status,See questionnaire (multiple options),Demographic variable,,,,
F_CREGION,Demographics,Demographic variable: Census region,See questionnaire (multiple options),Demographic variable,,,,
F_AGECAT,Demographics,Demographic variable: Age category,See questionnaire (multiple options),Demographic variable,,,,
F_SEX,Demographics,Demographic variable: Sex,See questionnaire (multiple options),Demographic variable,,,,
F_EDUCCAT,Demographics,Demographic variable: Education category,See questionnaire (multiple options),Demographic variable,,,,
F_EDUCCAT2,Demographics,Demographic variable: Education category (alternative coding),See questionnaire (multiple options),Demographic variable,,,,
F_HISP,Demographics,Demographic variable: Hispanic origin,See questionnaire (multiple options),Demographic variable,,,,
F_RACECMB,Demographics,Demographic variable: Race (combined coding),See questionnaire (multiple options),Demographic variable,,,,
F_RACETHN,Demographics,Demographic variable: Race/ethnicity,See questionnaire (multiple options),Demographic variable,,,,
F_NATIVITY,Demographics,Demographic variable: Nativity (US-born/foreign-born),See questionnaire (multiple options),Demographic variable,,,,
F_CITIZEN,Demographics,Demographic variable: Citizenship status,See questionnaire (multiple options),Demographic variable,,,,
F_MARITAL,Demographics,Demographic variable: Marital status,See questionnaire (multiple options),Demographic variable,,,,
F_RELIG,Demographics,Demographic variable: Religion,See questionnaire (multiple options),Demographic variable,,,,
F_BORN,Demographics,Demographic variable: Born-again or evangelical Christian identification,See questionnaire (multiple options),Demographic variable,,,,
F_ATTEND,Demographics,Demographic variable: Religious service attendance,See questionnaire (multiple options),Demographic variable,,,,
F_PARTY_FINAL,Demographics,Demographic variable: Party identification (final),See questionnaire (multiple options),Demographic variable,,,,
F_PARTYLN_FINAL,Demographics,Demographic variable: Party leaning (final),See questionnaire (multiple options),Demographic variable,,,,
F_PARTYSUM_FINAL,Demographics,Demographic variable: Party summary (final),See questionnaire (multiple options),Demographic variable,,,,
F_INCOME,Demographics,Demographic variable: Family income,See questionnaire (multiple options),Demographic variable,,,,
F_INCOME_RECODE,Demographics,Demographic variable: Family income (recoded),See questionnaire (multiple options),Demographic variable,,,,
F_REG,Demographics,Demographic variable: Census division/region (alternative),See questionnaire (multiple options),Demographic variable,,,,
F_IDEO,Demographics,Demographic variable: Ideology,See questionnaire (multiple options),Demographic variable,,,,
F_ACSWEB,Demographics,Demographic variable: Access to internet/web,See questionnaire (multiple options),Demographic variable,,,,
F_VOLSUM,Demographics,Demographic variable: Volunteer summary,See questionnaire (multiple options),Demographic variable,,,,
WEIGHT_W49,Demographics,Survey weight (Wave 49),See questionnaire (multiple options),Demographic variable,,,,
